Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
0	3.1612352794803E-5	0	8.0462278209429E-5	0	1.56731100261626E-5	0	3.98930518437243E-5	0	3.14968869969968E-5	0	8.01667536511632E-5	0	1.44831376611735E-5	0	3.68630111018833E-5	0	0	0	0			
-5.89359046653252E-5	3.1051637918781E-5	-1.4999911795832E-4	7.90266807951003E-5	-3.26979190340743E-5	1.45274755404506E-5	-8.3223763088067E-5	3.69749035849416E-5	-2.95232910983708E-5	3.16151838577862E-5	-7.51411836594066E-5	8.0463522767377E-5	4.36839421270648E-5	1.34009018321687E-5	1.11191042386012E-4	3.4111105335526E-5	0.005	0.005	0.005	0.005			
-2.12970620273349E-5	2.89948630092992E-5	-5.42057718485788E-5	7.37972583565799E-5	-3.88881250696594E-6	1.31480512464622E-5	-9.89822492500977E-6	3.34657521749606E-5	-8.64236160186383E-5	3.18939848092369E-5	-2.19947924676847E-4	8.1164658203921E-5	9.68741377965151E-7	1.33813474250093E-5	2.46567844421493E-6	3.40587527762716E-5	0.01	0.01	0.01	0.01			
4.81087909471849E-5	3.13051925062969E-5	1.22456484426966E-4	7.96874176934817E-5	-7.71740942970893E-5	1.26636956678071E-5	-1.96416779502234E-4	3.22289732306256E-5	-1.71230731721195E-4	2.71535726751163E-5	-4.3574323500677E-4	6.9091632979066E-5	-1.91018306534255E-5	1.32940335203669E-5	-4.8617706542667E-5	3.38353177954052E-5	0.015	0.015	0.015	0.015			
-2.52885250842339E-5	3.16473382218762E-5	-6.43646668381432E-5	8.05476215995184E-5	-1.26209683740215E-4	1.34901671879091E-5	-3.21201425018925E-4	3.43293031368168E-5	-2.69897639257135E-4	3.12438366798829E-5	-6.86757235494784E-4	7.94837692811328E-5	-4.61936439065526E-5	1.19748032834097E-5	-1.17568073472905E-4	3.04763250916964E-5	0.02	0.02	0.02	0.02			
-4.0568115078539E-5	2.96830923662252E-5	-1.03252819205992E-4	7.55463112911701E-5	-2.37261185730499E-4	1.32394082922125E-5	-6.03755460836713E-4	3.36848478814276E-5	-4.37368214500931E-4	3.03194962208683E-5	-0.00111269303556732	7.71094169993089E-5	-2.01951460566943E-4	1.38670864729854E-5	-5.13905751438676E-4	3.52822358758356E-5	0.025	0.025	0.025	0.025			
-8.52747372074403E-5	2.96968678717463E-5	-2.17028707689969E-4	7.55753503924088E-5	-3.92808050903174E-4	1.42289451717075E-5	-9.99411066002845E-4	3.61921626942567E-5	-6.89511038011253E-4	2.71254681137049E-5	-0.00175369859747397	6.89585082530886E-5	-3.30373953745256E-4	1.27417668940901E-5	-8.40589562521668E-4	3.24121898546137E-5	0.03	0.03	0.03	0.03			
-7.59868844110357E-5	3.39019209330581E-5	-1.93392509472352E-4	8.627771691037E-5	-5.38121602037847E-4	1.49223931453011E-5	-0.00136892056694312	3.79456686190075E-5	-0.00102332878429428	2.46321960053499E-5	-0.0026018212909431	6.25890636310445E-5	-5.14757099014785E-4	1.39698020805612E-5	-0.00130947393458384	3.55235634789887E-5	0.035	0.035	0.035	0.035			
-1.33460480312204E-4	3.06463547324723E-5	-3.39646860968966E-4	7.79848012131067E-5	-7.50669843510441E-4	1.62170825141529E-5	-0.00190919520458797	4.12207784684589E-5	-0.00144728957466147	2.26171413945454E-5	-0.00367811573032316	5.74356742005441E-5	-7.24174262325495E-4	1.58340044570208E-5	-0.0018418004276262	4.02469646127301E-5	0.04	0.04	0.04	0.04			
-2.10450407171919E-4	3.04639171864509E-5	-5.35537325211984E-4	7.7509869277698E-5	-0.00103161718367281	2.06064154170861E-5	-0.00262296474958963	5.23454001732653E-5	-0.00197327786509522	3.05747311799626E-5	-0.00501209929408597	7.75434473626462E-5	-9.27424789785443E-4	2.14447000314731E-5	-0.00235822893426593	5.44824006871226E-5	0.045	0.045	0.045	0.045			
