	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	
0	-1.3626782821039E-4	1.87056487394259E-5	-4.27715378590455E-4	5.87040464962494E-5	-7.98504789559791E-4	6.3224657656993E-5	-0.0025016564455004	1.97859085129192E-4	-0.00147277936075991	4.68562348333116E-5	-0.00460599740744078	1.46326712651304E-4	-0.0114170854384837	0.00109064136217469	-0.0351206569580091	0.00329338545489603	0
15	-5.75361342557703E-5	1.82295377728561E-5	-1.80616849131505E-4	5.72223839935249E-5	-3.32380840921786E-4	5.59680050955111E-5	-0.00104211888365204	1.75400576160139E-4	-0.00106449461937145	5.61961810348428E-5	-0.00333133942963691	1.75644953521988E-4	-0.0013054850008874	6.95329691191684E-5	-0.00408219122174489	2.17064067926631E-4	15
30	-8.84343257744892E-7	1.91451597676491E-5	-2.77637923387401E-6	6.01058127494972E-5	-7.76591478794542E-6	4.43883949154918E-5	-2.43615342964434E-5	1.39244372449406E-4	-2.30410552733377E-4	5.22636004323967E-5	-7.22053724898132E-4	1.63740181250832E-4	-5.25487542615245E-4	5.8247464241625E-5	-0.00164526780441403	1.82261164751067E-4	30
45	0			1.78667509477496E-5	0			5.60924140997123E-5	0			4.19958101502591E-5	0			1.31741772045049E-4	0			5.02091105869616E-5	0			1.57403089801683E-4	0			5.5113811027257E-5	0			1.72705952707768E-4	45
60	-4.23088951568362E-5	1.76192349836741E-5	-1.32818970127432E-4	5.53090388394387E-5	-1.21037959478365E-4	4.43428174652796E-5	-3.79623497119301E-4	1.39057855080413E-4	-3.00897448499674E-4	5.48698441497383E-5	-9.42834835990235E-4	1.71869681198612E-4	-5.33623289304465E-4	5.88354185785583E-5	-0.00167071811603001	1.84095800505771E-4	60
75	-1.23807824122228E-4	1.65696843344958E-5	-3.88614045153613E-4	5.20034426860112E-5	-4.9811077547945E-4	4.94233948903861E-5	-0.00156131114422902	1.54821313728832E-4	-0.00119955651325561	5.20585818947298E-5	-0.00375318844903813	1.62665314482208E-4	-0.00229520394447308	4.62538562463775E-5	-0.00716542959613197	1.44125081221745E-4	75
90	-2.6368349872458E-4	1.84412747171408E-5	-8.27472911879678E-4	5.78542477827149E-5	-0.00100013601292494	6.08889553935773E-5	-0.00313231932163774	1.90437299352948E-4	-0.0019508914569357	7.15824183779666E-5	-0.00609649740685746	2.23102957791422E-4	-0.00855896989888873	0.00112059258535613	-0.026450274346741	0.00341519286472221	90
105	-3.26203697787385E-4	1.75690500652718E-5	-0.00102356449959785	5.510941431103E-5	-0.00149949675400968	7.4401699469737E-5	-0.00469243281355818	2.32320600529365E-4	-0.00704556328741989	0.00116359134801539	-0.0218356934918468	0.00356508638704773	-0.0111359072405406	0.0010561302600774	-0.0342712180808298	0.00319206835635944	105
120	-4.19889687125717E-4	1.69724605278195E-5	-0.00131733087273236	5.32256009205142E-5	-0.00185714995309952	1.06290014488212E-4	-0.00580825664750675	3.31469458969371E-4	-0.00825969557897067	0.00113627401763846	-0.0255482923128091	0.00346772352132162	-0.010891759232667	0.00105321082820775	-0.033533022219878	0.00318575186255397	120
135	-3.65805614860386E-4	1.6140501983573E-5	-0.00114775321499286	5.0625063364984E-5	-0.00188813496706556	7.99456686581657E-5	-0.00590486383897942	2.49320995972859E-4	-0.00739745568391287	0.00116318082497318	-0.0229132213461446	0.00355976582022701	-0.0108512281995576	0.00106037455536153	-0.0334104179732529	0.00320783926135928	135
