angles °	25 mT delta fr	25 mT delta fr err	25 mT delta ns	25 mT delta ns err	50 mT delta fr	50 mT delta fr err	50 mT delta ns	50 mT delta ns err	75 mT delta fr	75 mT delta fr err	75 mT delta ns	75 mT delta ns err	100 mT delta fr	100 mT delta fr err	100 mT delta ns	100 mT delta ns err	angles 50 mT
0	0			9.91077417034105E-6	0			2.52261609262595E-5	0			2.05279801167052E-5	0			5.22395536557979E-5	0			1.17879230579218E-5	0			2.99901875047415E-5	0			1.75307248804963E-5	0			4.45974641304775E-5	0
15	-6.53230479904077E-5	9.55197859584269E-6	-1.66257163843393E-4	2.43100548180603E-5	-8.46631651252744E-5	1.84705389920947E-5	-2.15431559226407E-4	4.69968062834925E-5	-2.25861761857137E-4	1.21504590276013E-5	-5.74489619742113E-4	3.08997413968099E-5	-4.27665670744246E-4	1.5743245871236E-5	-0.00108747881864239	4.00202105924042E-5	15
30	-1.58914855756111E-4	9.75579775365863E-6	-4.04423085983174E-4	2.4824556507554E-5	-3.98909960786967E-4	1.94090234351677E-5	-0.00101472213734114	4.93568770675052E-5	-9.29200018552093E-4	1.0297844788336E-5	-0.00236172783366028	2.61570737627025E-5	-0.0020301917769943	1.8435858284192E-5	-0.00515379834135731	4.67249757885483E-5	30
45	-2.45186950968187E-4	9.83828465184619E-6	-6.23921041703451E-4	2.50305158548347E-5	-9.37336941370831E-4	1.75269131473572E-5	-0.00238299849943054	4.4530740146287E-5	-0.00238163518108655	2.78821684943521E-5	-0.00604418654090282	7.0592622109174E-5	-0.00455060233888955	3.90887878249357E-5	-0.0115217550770468	9.85249345752341E-5	45
60	-3.5357405521627E-4	1.06604995794719E-5	-8.99629052049543E-4	2.71166653890577E-5	-0.00157572965356988	1.61339447987069E-5	-0.00400331974697826	4.09510184390424E-5	-0.00406495029911739	1.55204155390491E-5	-0.010298071921605	3.91773819341642E-5	-0.00724804317334234	5.51119779033614E-5	-0.0183000210379296	1.3812643801651E-4	60
75	-4.5135485862359E-4	1.05006632582741E-5	-0.00114830385727211	2.67053386626308E-5	-0.0021484303004419	1.48258109601155E-5	-0.00545506902326952	3.76016649687643E-5	-0.00411771805129253	3.23137011756408E-5	-0.0104311793732191	8.15193536927874E-5	-0.00784204053558862	5.36974901413609E-5	-0.0197875364348776	1.34418561944705E-4	75
90	-4.11439186162812E-4	9.23801964610319E-6	-0.00104679700309393	2.34965952179701E-5	-0.00239245812651197	1.96560063628686E-5	-0.00607313228486009	4.980638857827E-5	-0.00403200848845755	4.5501957860722E-5	-0.0102149682797005	1.14801953442506E-4	-0.00835907187103561	5.42202180925247E-5	-0.0210808127848022	1.35582358424432E-4	90
105	-4.47187059777316E-4	9.37308197638501E-6	-0.00113770540515865	2.38385115990325E-5	-0.00212512611979615	1.48206481971951E-5	-0.00539602871366984	3.75899769576858E-5	-0.00419205256604315	3.94647642006788E-5	-0.0106186644587647	9.95395882346504E-5	-0.00822375861947222	4.78533958389022E-5	-0.020742481496592	1.19702640877916E-4	105
120	-3.7551584753808E-4	1.02351474430133E-5	-9.55435542244493E-4	2.60338505363332E-5	-0.00159544731226585	1.56433430154349E-5	-0.00405333126474791	3.97062558768366E-5	-0.00427846232364602	1.86412321631963E-5	-0.0108365689631039	4.70261087947008E-5	-0.00743700811049792	6.28812804369605E-5	-0.0187734353180635	1.57529961562304E-4	120
135	-2.37821292681812E-4	1.18549812380369E-5	-6.05182496048847E-4	3.01611710690259E-5	-9.77742008941456E-4	2.15139750436088E-5	-0.00248561571960922	5.46502049419657E-5	-0.0026384394987904	2.75642843206896E-5	-0.00669411971691853	6.97514786420089E-5	-0.00514332751590053	3.94843407072363E-5	-0.013014453367973	9.94016460370608E-5	135
