T 0mT	Delta fr 0mT	Delta fr err 0mT	T 30mT 0°	Delta fr 30mT 0°	Delta fr err 30mT 0°	T 30mT 90°	Delta fr 30mT90°	Delta fr err 30mT 90°	T 60mT 0°	Delta fr60mT 0°	Delta fr err60mT 0°	T 60mT 90°	Delta fr 60mT90°	Delta fr err 60mT 90°			
21.0746215	0			6.57595586638136E-6	14.3840465	-7.39011076581333E-5	1.1400542095854E-5	14.8530765	-6.97742681098358E-4	8.77484653313041E-6	14.29162	-5.28153610797725E-4	6.54335255738272E-6	14.655808	-0.00414839919121056	9.39964883128868E-6			
33.041784	-3.42243782315281E-6	8.13583298861786E-6	26.047719	-6.30074601905477E-5	1.1509581801086E-5	26.5098515	-6.95970815455154E-4	8.88430048028551E-6	31.808511	-5.49845629664937E-4	6.44932160858153E-6	32.1906325	-0.00417599859752432	9.71954892016839E-6			
50.0303265	2.18213483524985E-5	6.1658262460174E-6	41.5188115	-7.37629426756515E-5	1.07193649500061E-5	41.5795095	-7.26939785148236E-4	9.52935062632311E-6	49.7213185	-5.62964132429412E-4	5.70464862021774E-6	49.822022	-0.00419291377404784	9.98161529486844E-6			
62.4403085	9.32631120197475E-6	6.68875047019074E-6	53.400445	-3.93978872351882E-5	1.21987245942079E-5	53.4156195	-6.97569827673169E-4	8.37287655952665E-6	62.604469	-6.05616370459117E-4	6.16135838086907E-6	62.521699	-0.00417716858320579	1.00031364052634E-5			
74.261244	-1.40420273247144E-6	6.53019514951346E-6	62.651372	-5.87274143282752E-5	1.13648634841431E-5	62.488591	-7.24055624038601E-4	9.09749160583687E-6	74.230895	-5.27145459173682E-4	5.3821530466084E-6	74.4419585	-0.00421128508960687	9.77689799227249E-6			
84.596458	-2.43719650826998E-5	6.2727109904104E-6	71.764349	-1.00882107051465E-4	1.20661108471815E-5	71.6305375	-7.09726133526361E-4	8.91271883090446E-6	84.527483	-5.74288408066098E-4	5.53655365256858E-6	84.6309455	-0.004097467653627	1.09428604654929E-5			
94.217091	-8.52079193119968E-7	6.82828940656402E-6	79.3529785	-7.48945514869083E-5	1.20592074961559E-5	79.213649	-7.03812259490084E-4	9.48256277034868E-6	94.1936395	-5.2371353376715E-4	5.18086165158676E-6	94.280548	-0.00419025243615901	1.0274919702018E-5			
103.5438905	6.81083943718325E-6	5.8893729495344E-6	86.7305445	-1.06881789417453E-4	1.38104045601963E-5	86.5594865	-6.70483631524545E-4	8.48028141526873E-6	103.5687215	-5.43815813453644E-4	6.42047063852127E-6	103.5687215	-0.00401875096143635	1.07715763952704E-5			
112.7975765	-2.6894717682287E-5	5.7947636348248E-6	94.404703	-1.02378503631955E-4	1.36411840402321E-5	94.2460605	-7.17988226155146E-4	8.46457109283627E-6	113.0596815	-5.27793555491489E-4	5.2238574933014E-6	113.210047	-0.00414086522026471	1.01673600256933E-5			
122.7658435	2.7531335384422E-5	5.55188489933431E-6	101.335311	-8.23178338629185E-5	1.27951328797869E-5	101.205638	-7.18704761951158E-4	1.06548908207535E-5	122.7713615	-5.57849542054516E-4	5.02503273581747E-6	122.706525	-0.00418608276850477	1.03095858170124E-5			
132.3285375	-1.24182073943476E-5	6.10681293567338E-6	108.0796865	-6.86747477404825E-5	1.21603850486842E-5	108.081066	-7.06242127265518E-4	8.98914555685582E-6	132.2043825	-5.33243403455914E-4	5.17361317955503E-6	132.310604	-0.00406377535143377	1.14537489745369E-5			
142.380954	-3.5144633496776E-5	6.60838617866669E-6	115.580028	-6.04056680768946E-5	1.10634976233069E-5	115.3662055	-7.04223705187141E-4	9.82072722722265E-6	142.4706215	-5.56934550689239E-4	5.66573863613931E-6	142.4044055	-0.00411724405891676	9.84190050701584E-6			
153.0817355	-2.22812874495621E-5	5.97179553573267E-6	123.004497	-7.2052028539851E-5	1.15147533200451E-5	122.852752	-7.03379973290348E-4	9.15315552101087E-6	153.2141675	-5.61171689154154E-4	5.08554826978553E-6	153.072079	-0.00408884259304796	9.56266694688669E-6			
164.1287715	1.31555684398334E-5	5.75204339053696E-6	130.073055	-4.8329902348248E-5	1.24635648975478E-5	129.993044	-7.06158082866717E-4	9.30558506028914E-6	164.46399	-5.06519772629275E-4	6.67132123189032E-6	164.538483	-0.00407528719576972	1.01004546470189E-5			
175.1592535	7.25463829615309E-6	7.58053067696318E-6	137.2671475	-5.82154153906867E-5	1.2504935491847E-5	137.0547045	-6.70468880414352E-4	8.95163913219937E-6	175.483436	-4.8827019368337E-4	4.97548157456499E-6	175.337209	-0.0040596120509759	9.60298683701524E-6			
186.6118625	6.92771031965015E-6	6.05120308782723E-6	144.938547	-6.71362095827536E-5	1.04411701589458E-5	144.891644	-6.99820287948112E-4	1.00030605416969E-5	186.574616	-5.40773686841898E-4	5.16310429598452E-6	186.9291475	-0.00406615391658508	9.50888088806765E-6			
199.1680715	1.49525287046213E-5	5.21697432998095E-6	152.677542	-6.18237997207587E-5	1.13246746742798E-5	152.603049	-6.92189087810431E-4	9.67153181259936E-6	199.2508415	-4.90530937948279E-4	5.10506102960773E-6	199.5460545	-0.0040587495129809	9.6870113495711E-6			
212.4719695	1.66072164102985E-5	5.49826836386986E-6	160.921434	-4.8915909914109E-5	1.14382135967031E-5	160.9945475	-7.07979097767402E-4	1.00371838228213E-5	212.321604	-4.86719517222553E-4	7.14122242367237E-6	212.4167895	-0.00398200413970063	9.41569020915059E-6			
226.0986705	3.75206231642958E-5	6.0561919012646E-6	169.054966	-4.57052229994524E-5	1.11917287142932E-5	169.1473925	-6.85655143463124E-4	1.03666480449903E-5	226.031075	-4.64767634068305E-4	6.89429705912578E-6	226.1814405	-0.00396796823059599	9.62427811956191E-6			
240.110252	3.26423159258286E-5	6.96544877903043E-6	177.7582315	-4.65571706993088E-5	1.06409330580095E-5	177.892043	-6.80010540023648E-4	1.03999649106819E-5	240.504789	-4.96594594622436E-4	9.59693397922239E-6	240.8786335	-0.00393774160267939	1.04700748951641E-5			
255.6834275	4.2165181881281E-5	6.75575455578971E-6	186.111104	-2.20470834238404E-5	1.20769916334916E-5	186.1759405	-6.78873840529921E-4	9.24103300850132E-6	256.346967	-4.93025374033412E-4	1.30368214914943E-5	256.0862415	-0.00388008036121327	9.34968690229367E-6			
272.8030225	4.50503700517139E-5	8.27023061433509E-6	195.80623	-8.35505106278811E-6	1.03041594330482E-5	195.5537815	-6.79893004907765E-4	9.35050449391654E-6	273.2803295	-4.54971473424979E-4	1.20679351535118E-5	273.458285	-0.00386046132906706	1.02697830923402E-5			
290.784805	6.15588270457638E-5	9.72956225717774E-6	205.2709795	-7.69247883030136E-6	1.13144054083216E-5	205.0723315	-6.88068546836347E-4	1.09409347882737E-5	290.757215	-4.60516066383772E-4	1.27252970388118E-5	290.5682235	-0.00380543199846806	1.09272227416815E-5			
308.8852245	5.36071477868246E-5	1.21755589074961E-5	215.080604	-9.20504447352426E-6	1.20756056054211E-5	214.719175	-6.90027710919065E-4	1.00971904161903E-5	309.3901215	-4.54435851360724E-4	1.49276905335138E-5	308.9459225	-0.00377532860950944	1.01949587449224E-5			
327.987161	5.31466648335608E-5	1.23592165703127E-5	225.159231	2.35625272951379E-6	1.14111966157311E-5	225.1826825	-6.83652379284185E-4	1.08578325351911E-5	327.802308	-4.96851379155625E-4	1.48927487017131E-5	328.050618	-0.00370471871359448	1.05924079612103E-5			
349.1197215	5.0031932700637E-5	1.16259160713994E-5	236.2655855	8.87954151223757E-7	1.26170513815995E-5	235.6337745	-6.82076107997204E-4	1.22032077492157E-5	349.4121755	-5.00899181071981E-4	2.25760945535786E-5	349.821887	-0.00368530395526726	1.13829485017582E-5			
371.419339	2.92985834991822E-5	1.89726790136574E-5	247.2988265	5.04817264082058E-6	1.19256424764203E-5	247.2050205	-6.71685447181374E-4	1.19972041314663E-5	372.451205	-5.02173775827923E-4	2.70734906086078E-5	372.384989	-0.00366385636527662	1.16744324813742E-5			
396.3400065	-3.06046622884184E-6	2.25016973997006E-5	259.420493	1.01220975583714E-5	1.31457239855068E-5	258.981812	-6.76783254617863E-4	1.27426881337354E-5	396.0116855	-5.57248420040452E-4	3.85153236502699E-5	396.7510975	-0.003639197175963	9.58521925528189E-6			
421.922834	-8.88274742774683E-5	2.41785765049186E-5	272.0994775	1.55248270311562E-5	1.3822855266153E-5	271.95463	-6.63945405702271E-4	1.32415604157267E-5	422.640174	-6.23138407587553E-4	3.91199999232249E-5	422.176662	-0.00365639965339029	1.23254308539534E-5			
448.373367	-2.02518163737615E-4	2.9330194981954E-5	284.97711	1.2218192811252E-5	1.46382711832286E-5	285.079193	-6.79643385900884E-4	1.47960175119914E-5	449.1141585	-7.39833778738105E-4	3.62860189649028E-5	449.3183245	-0.00372836983850165	1.32621083461399E-5			
475.759201	-4.05676644865529E-4	2.66184559729802E-5	298.3982655	7.83019528200367E-6	1.5313278418343E-5	298.352742	-6.71154036857794E-4	1.54630180682587E-5	477.215953	-9.37781218637156E-4	3.35355054445786E-5	476.9193605	-0.0038309158257587	1.10029874649227E-5			
506.5261895	-7.13706408647621E-4	3.17357712290284E-5	312.3560465	7.51414238652617E-6	1.73621675525565E-5	311.8235595	-6.80049461120118E-4	1.64931479867248E-5	506.5758515	-0.00124683181326961	5.52104337548553E-6	506.3689265	-0.0040267865722607	1.05155105695152E-5			
539.3969155	-0.00118506022512389	2.3681259651326E-5	326.6173175	-2.45335610566019E-6	1.70394102333374E-5	326.254509	-6.79870574706883E-4	1.6195841961947E-5	539.602461	-0.00173454855830816	3.71726506242944E-5	538.650606	-0.00434422121012133	9.2117905721289E-6			
572.9353195	-0.00188148371661492	4.03967141082446E-5	342.69539	-5.80686580071005E-6	1.90585242552823E-5	342.196011	-6.86327245908424E-4	1.59728267662551E-5	574.2541215	-0.00239828816314608	4.38055015024903E-5	572.2648825	-0.00482724682497254	9.12206440629311E-6			
608.105672	-0.00280417419543546	3.45679040423885E-5	358.3789255	-7.52566536801471E-6	2.07625745368421E-5	358.1582055	-6.93381636542757E-4	1.71553612549356E-5	608.2229295	-0.00329882532105658	2.64910956524879E-5	608.4188185	-0.00553532492630984	1.56182620978052E-5			
645.959152	-0.00401815875655679	1.75471653135651E-5	375.908232	-2.68770589133294E-5	2.33951041664349E-5	375.292975	-7.21351279877424E-4	2.09156905137625E-5	645.9605315	-0.00449637737950793	1.15096968288271E-5	645.606		-0.00656627524212597	3.69216232347983E-5			
686.993759	-0.00570217866164185	7.90410362620477E-6	394.423881	-6.11597791835542E-5	2.80961493579443E-5	393.1588795	-7.64969954119492E-4	2.51037981699163E-5	687.418645	-0.00614080057660879	1.12088015807886E-5	687.7566225	-0.00842554341108386	5.59795121245961E-5			
731.9061405	-0.00805652302900496	1.11807679900454E-5	412.371176	-1.20099376862992E-4	3.04035605214052E-5	412.2456415	-8.05443051951515E-4	2.83894407431504E-5	731.146036	-0.00856213659766473	1.29097885707785E-5	731.2329445	-0.0115620936223731	2.40671527576719E-5			
776.2267165	-0.0123348079304859	1.58174903179649E-5	433.193349	-1.89955611621618E-4	3.31218256030089E-5	432.547743	-8.86699874542818E-4	2.82848930063387E-5	776.8971535	-0.0129580417151908	1.90640298441038E-5	778.1911245	-0.0153951790417841	1.65934908200857E-5			
824.85823	-0.0167869144452882	1.39399606201381E-5	452.627745	-3.0458247414361E-4	3.19329727836782E-5	452.8415675	-9.92361952393546E-4	3.03355919269426E-5	825.4003735	-0.0171761915783581	1.41362030601868E-5	824.816845	-0.0185853405701987	1.56278492735043E-5			
875.9838795	-0.0215326405001316	1.64249837072067E-4	473.9782665	-4.54618864589667E-4	3.34159694943987E-5	473.965851	-0.00113146395491724	2.90303691830687E-5	877.5785815	-0.0219928758740131	1.23702470807391E-4	877.127485	-0.0246837744088166	1.37430431736558E-4			
934.8774935	-0.0306327352681681	3.3216352309751E-5	495.974394	-6.55802407730896E-4	3.34369101186514E-5	494.8638965	-0.00132744205626839	2.7289476259125E-5	935.499648	-0.0311383031505705	3.63936666305013E-5	931.8591475	-0.0326096035176262	4.26127438481305E-5			
								519.456243	-9.57000966325446E-4	3.2826703967065E-5	519.321052	-0.00160782886835619	2.2147874235654E-5									
								544.474855	-0.00135291654243569	2.92069010073872E-5	544.485891	-0.00199045134662621	1.50545609069516E-5									
								570.1790785	-0.00185381800256898	1.60424607633355E-5	570.194253	-0.00247845215024417	7.63321944839636E-6									
								595.441862	-0.00249536473384963	7.89689508184622E-6	594.724522	-0.00309642101872679	2.62256845020705E-5									
								623.205679	-0.00330295072040788	1.15917221999669E-5	622.731131	-0.00385813642156944	1.80214709741689E-5									
								651.9337665	-0.00431648220967954	1.11929254670183E-5	651.438526	-0.00482905186868863	1.09976480340475E-5									
								683.3256685	-0.00553042317920642	7.98375151658546E-6	681.8992655	-0.00604155218966644	8.81098879200649E-6									
								715.6887385	-0.00718464559144164	1.26399126198826E-5	715.0927945	-0.00774188756413515	1.55951105970535E-5									
								747.280668	-0.00943745668746626	1.41769577336503E-5	748.3304675	-0.0100574946564085	1.39217889264807E-5									
								781.8357635	-0.0130205257556837	2.04964658004394E-5	783.200089	-0.0134296026084768	2.39968830021041E-5									
								819.006391	-0.0163738411582213	1.49355642884584E-5	819.3416095	-0.0166340499349765	1.32733786143692E-5									
								857.944158	-0.0190326098338078	2.92068062177813E-5	858.7594425	-0.0194408985211869	2.70704203355263E-5									
								898.429724	-0.0251645194532383	8.34407475722921E-5	897.0736755	-0.0255013109903929	5.56520309745757E-5									
								939.221539	-0.0314499893222666	3.60437567583692E-5	938.1800165	-0.0311704325105421	5.1733479118009E-5									
