B	delta ns 90	delta ns err 90	delta ns 0	delta ns err 0
0	0	6.29937739939935E-5	0	6.32247055896059E-5
0.005	-7.51411836594066E-5	6.32274831942908E-5	-1.4999911795832E-4	6.20976201803869E-5
0.01	-2.19947924676847E-4	6.3779451637775E-5	-5.42057718485788E-5	5.79878176108887E-5
0.015	-4.3574323500677E-4	5.42927779711329E-5	1.22456484426966E-4	6.26150397263747E-5
0.02	-6.86757235494784E-4	6.24616177411293E-5	-6.43646668381432E-5	6.32922030694554E-5
0.025	-0.00111269303556732	6.05980235065062E-5	-1.03252819205992E-4	5.93624632297508E-5
0.03	-0.00175369859747397	5.41931632208617E-5	-2.17028707689969E-4	5.93859097156242E-5
0.035	-0.0026018212909431	4.91865488779478E-5	-1.93392509472352E-4	6.77958807087368E-5
0.04	-0.00367811573032316	4.51332267105032E-5	-3.39646860968966E-4	6.12800700561579E-5
0.045	-0.00501209929408597	6.09632726593197E-5	-5.35537325211984E-4	6.09080233617673E-5
0.05	-0.00654788597868538	7.61152949522514E-5	-9.46912619515791E-4	6.00023225848534E-5
0.055	-0.00863725053898716	7.84469142691852E-5	-0.00113380888140722	6.22305419985487E-5
0.06	-0.0106811040232395	8.51571803604058E-5	-0.0013221167764539	6.03577066975423E-5
0.065	-0.012286094427866	8.19606826666424E-5	-0.0016271696128495	5.89837267922354E-5
0.07	-0.012570548347474	8.14166965518627E-5	-0.0016114324248693	6.02562153505527E-5
0.075	-0.0168414708366208	8.95103655534135E-5	-0.00170755653525671	6.26117317473382E-5
0.08	-0.0177402666193563	9.15089547380538E-5	-0.00206217867284469	6.25485049029956E-5
0.085	-0.0222801978779641	9.27844601783567E-5	-0.00208147913197195	5.86605830522715E-5
0.09	-0.0234759855569778	9.56887143562471E-5	-0.00229149358691895	5.33151232307683E-5
0.095	-0.024409428739678	9.5647970602535E-5	-0.00239221958467248	5.18151919842164E-5
0.1	-0.0254748559551275	9.25863277401773E-5	-0.00249587102315684	4.58757995951925E-5
0.105	-0.0250435556365912	9.53067653172075E-5	-0.00256506756770432	4.64643446442727E-5
0.11	-0.0257488009709245	9.03256759561922E-5	-0.00259923054876954	4.61820018657744E-5
0.115	-0.0267346647804713	8.60027648528838E-5	-0.00281079106579946	4.91427513446142E-5
0.12	-0.0260207132926232	9.25171708704865E-5	-0.00289535473956825	4.76673100899493E-5
0.125	-0.0253017650221617	7.98250979520924E-5	-0.00299108174945999	4.68785916199062E-5
0.13	-0.0253111161258928	6.95059763615992E-5	-0.00292480399523168	4.54913336534489E-5
0.135	-0.025092693210005	6.81099942009544E-5	-0.00309989232292174	4.65969518806553E-5
0.14	-0.0251564094663239	8.53840395893974E-5	-0.0030935911031267	4.58525465338252E-5
0.145	-0.0249422848802036	7.0740936997958E-5	-0.003325486150475	4.55043605373558E-5
0.15	-0.0252342644220104	7.79898084478888E-5	-0.00346935436661698	4.57682869346741E-5
0.155	-0.0246851096563854	6.64360615728761E-5	-0.00343848688227678	4.60693147118127E-5
0.16	-0.024960039431434	6.64142263501078E-5	-0.00356955938112715	4.57065677433781E-5
0.165	-0.0246550613443843	8.04967483115441E-5	-0.00357522434302398	4.62199263228266E-5
0.17	-0.0246076981088649	6.58104012179368E-5	-0.003654938381314	4.64620754889954E-5
0.175	-0.0247193215731061	6.62504189421366E-5	-0.00389849213590801	4.67169639771366E-5
0.18	-0.0249048785563145	6.95807979299023E-5	-0.00389717406990898	4.68198822586186E-5
0.185	-0.0244833101267318	7.768806366468E-5	-0.00409321206282998	4.66481593737443E-5
0.19	-0.0246950680889105	6.60421697730942E-5	-0.00425668029064086	4.57153969123421E-5
0.195	-0.0247103346783667	6.72067759694502E-5	-0.00406090887714653	5.01071203907899E-5
0.2	-0.0247508078995091	6.7651690810278E-5	-0.00444617515778956	4.61866508526088E-5
0.205	-0.0245948704085832	6.00802970554394E-5	-0.00455219111436873	4.60131519955169E-5
0.21	-0.0247400493516164	6.42398450738413E-5	-0.00471641034442902	4.9658909227145E-5
0.215	-0.0249480452615384	5.98625390291959E-5	-0.00470416862371674	4.61235404750154E-5
0.22	-0.024894297715547	6.10300749550662E-5	-0.00479200076194122	5.08794829815115E-5
0.225	-0.0248165961369298	6.17036279025777E-5	-0.00491133294474808	4.77467101512966E-5
0.23	-0.024444928527939	5.84863962016575E-5	-0.005047664059636	4.78755021354133E-5
0.235	-0.0246548811952151	5.7916602474323E-5	-0.00522978466122987	4.91071707249606E-5
0.24	-0.0247093904516079	6.99877221628535E-5	-0.00528677888001867	5.45743291478012E-5
0.25	-0.0242050064351463	5.85212872605892E-5	-0.00565398336827036	4.86354033672233E-5
0.27	-0.0245744154364624	7.02565467009999E-5	-0.00609433324873258	5.03914886023819E-5
0.29	-0.024614058340666	5.87147015227732E-5	-0.00678978626354196	5.38291661732863E-5
