5.7 GHz resonator,B_c=0.076T,g=36.36,Delta_S/gamma_parallel=132251,gamma_perpendicular=3.9gamma_parallel,
B_exp [T],nyy_exp,nxx_exp,B_theory [T],nyy,nxx
0,0,0,0,0,0
0.005,-0.000117868335889597,-5.90E-05,0.00401786,-2.49E-06,-2.84E-05
0.01,-4.26E-05,-1.73E-04,0.00803571,-1.00E-05,-0.000116015
0.015,9.62E-05,-3.42E-04,0.0120536,-2.27E-05,-0.000263954
0.02,-5.06E-05,-5.40E-04,0.0160714,-4.07E-05,-0.000476438
0.025,-8.11E-05,-8.75E-04,0.0200893,-6.43E-05,-0.000758722
0.03,-0.000170542202634008,-0.00137854665055051,0.0241071,-9.39E-05,-0.00111731
0.035,-0.000151967994815643,-0.00204561036678767,0.028125,-0.000129863,-0.00155968
0.04,-0.00026690314892416,-0.00289248450220963,0.0321429,-0.000172666,-0.00209389
0.045,-0.000420856524969486,-0.00394266190465725,0.0361607,-0.000222802,-0.00272802
0.05,-0.000744204864513518,-0.0051524529441853,0.0401786,-0.000280748,-0.00346918
0.055,-0.000891127502402736,-0.00679959646024177,0.0441964,-0.000346982,-0.00432266
0.06,-0.00103917175375341,-0.00841229135895931,0.0482143,-0.00042188,-0.00529042
0.065,-0.00127902411734475,-0.0096796954863655,0.0522321,-0.000505719,-0.00636985
0.07,-0.00126664975029807,-0.00990440984225276,0.05625,-0.000598577,-0.00755236
0.075,-0.00134223476061988,-0.0132816792868664,0.0602679,-0.000700308,-0.00882244
0.08,-0.00162111076043512,-0.0139932000314064,0.0642857,-0.000810509,-0.0101575
0.085,-0.00163628992051434,-0.0175913886562896,0.0683036,-0.000928451,-0.0115283
0.09,-0.00180146732350669,-0.0185402979477979,0.0723214,-0.00105312,-0.0129009
0.095,-0.00188069409326171,-0.0192813651566941,0.0763393,-0.00118324,-0.0142395
0.1,-0.00196222546133941,-0.0201275796032659,0.0803571,-0.00131731,-0.015509
0.105,-0.0020166569101412,-0.0197849729940804,0.084375,-0.00145373,-0.0166792
0.11,-0.00204353082076036,-0.0203452229175447,0.0883929,-0.00159085,-0.0177265
0.115,-0.00220996120010105,-0.0211286827119791,0.0924107,-0.00172709,-0.0186358
0.12,-0.00227648995459882,-0.0205612767029449,0.0964286,-0.00186104,-0.0194009
0.125,-0.00235180414796856,-0.0199900758892671,0.100446,-0.00199146,-0.020023
0.13,-0.00229965912520416,-0.0199975041590467,0.104464,-0.00211738,-0.0205101
0.135,-0.00243741572101926,-0.0198240025775263,0.108482,-0.00223806,-0.0208743
0.14,-0.00243245784627983,-0.0198746131228754,0.1125,-0.00235297,-0.0211304
0.145,-0.00261492445417707,-0.0197045370439977,0.116518,-0.00246182,-0.0212941
0.15,-0.00272813627341904,-0.0199364560831903,0.120536,-0.00256448,-0.0213811
0.155,-0.00270384564960196,-0.0195002871955757,0.124554,-0.00266097,-0.0214057
0.16,-0.00280699306282134,-0.0197186386322608,0.128571,-0.00275143,-0.021381
0.165,-0.00281145123139854,-0.019476424152095,0.132589,-0.00283605,-0.0213181
0.17,-0.00287418512660064,-0.0194388109874398,0.136607,-0.00291509,-0.0212267
0.175,-0.00306587199969697,-0.019527457166197,0.140625,-0.00298886,-0.0211145
0.18,-0.00306483457338942,-0.0196748273484567,0.144643,-0.00305766,-0.0209879
0.185,-0.00321913903352583,-0.0193400328410761,0.148661,-0.00312183,-0.020852
0.19,-0.00334781725922346,-0.0195081958113991,0.152679,-0.00318166,-0.0207108
0.195,-0.00319371181633863,-0.0195203200334114,0.156696,-0.00323748,-0.0205673
0.2,-0.00349699431445646,-0.0195524629170944,0.160714,-0.00328957,-0.0204239
,,,0.164732,-0.00333822,-0.0202823
,,,0.16875,-0.00338368,-0.0201437
,,,0.172768,-0.0034262,-0.0200092
,,,0.176786,-0.00346602,-0.0198792
,,,0.180804,-0.00350332,-0.0197542
,,,0.184821,-0.00353832,-0.0196343
,,,0.188839,-0.00357117,-0.0195196
,,,0.192857,-0.00360205,-0.0194102
,,,0.196875,-0.00363111,-0.0193059
,,,0.200893,-0.00365847,-0.0192066
,,,0.204911,-0.00368427,-0.019112
,,,0.208929,-0.00370861,-0.0190222
,,,0.212946,-0.00373161,-0.0189367
,,,0.216964,-0.00375335,-0.0188554
,,,0.220982,-0.00377393,-0.0187781
,,,0.225,-0.00379343,-0.0187046
